Make,Model,Year,Transmission Type,Color,Type,Location,Price
Lexus,ES 350,2008,Automatic,Silver,Foreign Used,"Lagos, Ogba","₦ 9,000,000"
Toyota,Land Cruiser Prado 2.7 5dr,2002,Automatic,Beige,Local Used,"Taraba, Gashaka","₦ 9,000,000"
Lexus,GX 460 Premium,2013,Automatic,White,Foreign Used,"Lagos, Ogba","₦ 40,500,000"
Toyota,Tundra,2017,Automatic,Black,Foreign Used,"Lagos, Ojodu","₦ 40,000,000"
Mercedes-Benz,GLE-Class,2017,Automatic,Black,Foreign Used,"Lagos, Alimosho","₦ 40,980,000"
Lexus,RX 350,2011,Automatic,Gold,Foreign Used,"Lagos, Amuwo-Odofin","₦ 18,850,000"
Toyota,Venza XLE AWD,2013,Automatic,White,Local Used,"Lagos, Ogba","₦ 15,500,000"
Land,Rover Range Rover Velar D180 S 4x4,2018,Automatic,White,Foreign Used,"Lagos, Egbe/Idimu","₦ 65,000,000"
Saturn,Vue,2008,Automatic,Gold,Foreign Used,"Lagos, Badagry","₦ 8,700,000"
Toyota,Venza AWD,2010,Automatic,Black,Foreign Used,"Lagos, Ikeja","₦ 21,000,000"
Toyota,Corolla,2016,Automatic,Silver,Foreign Used,"Abuja, Kubwa","₦ 15,000,000"
Toyota,Highlander,2015,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 35,000,000"
Mercedes-Benz,GLK-Class,2015,Automatic,White,Foreign Used,"Lagos, Ikeja","₦ 25,500,000"
Lexus,ES 350 FWD,2015,Automatic,Black,Foreign Used,"Lagos, Ikeja","₦ 25,000,000"
Toyota,Camry,2013,Automatic,White,Foreign Used,"Lagos, Ikeja","₦ 13,500,000"
Acura,TL SH-AWD,2010,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 10,000,000"
Toyota,Venza V6,2012,Automatic,Gold,Local Used,"Rivers, Port-Harcourt","₦ 14,000,000"
Mercedes-Benz,GLE-Class,2017,Automatic,Black,Foreign Used,"Lagos, Agege","₦ 35,500,000"
Lexus,GX,2013,Automatic,Red,Foreign Used,"Lagos, Amuwo-Odofin","₦ 35,000,000"
Toyota,RAV4 XLE AWD,2020,Automatic,Gray,Foreign Used,"Abuja, Jahi","₦ 43,000,000"
Lexus,ES,2014,Automatic,Blue,Foreign Used,"Lagos, Apapa","₦ 26,000,000"
Toyota,Venza,2010,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 18,500,000"
Cadillac,Escalade,2020,Automatic,Black,Local Used,"Lagos, Ikeja","₦ 100,000,000"
Lexus,GX 460,2010,Automatic,Silver,Foreign Used,"Lagos, Gbagada","₦ 37,000,000"
Mercedes-Benz,GLC-Class,2018,Automatic,Black,Foreign Used,"Lagos, Lekki","₦ 44,200,000"
Volkswagen,Beetle 2.5L Fender Edition,2013,Automatic,White,Foreign Used,"Lagos, Agege","₦ 12,600,000"
Lexus,RX 330,2004,Automatic,Black,Local Used,"Imo, Owerri","₦ 8,500,000"
Toyota,Corolla,2015,Automatic,Red,Foreign Used,"Lagos, Ikeja","₦ 15,000,000"
Lexus,ES,2014,Automatic,Silver,Foreign Used,"Lagos, Amuwo-Odofin","₦ 22,500,000"
Toyota,Corolla L,2020,Automatic,Black,Foreign Used,"Lagos, Ikeja","₦ 24,300,000"
Toyota,RAV4 Limited V6 4x4,2008,Automatic,Red,Local Used,"Lagos, Ikeja","₦ 8,750,000"
Hyundai,Santa Fe,2008,Automatic,Silver,Local Used,"Lagos, Ikeja","₦ 5,250,000"
Mercedes-Benz,M Class,2014,Automatic,Black,Foreign Used,"Abuja, Jahi","₦ 32,000,000"
Toyota,Land Cruiser Prado 2.7,2019,Automatic,Black,Local Used,"Lagos, Ikeja","₦ 18,000,000"
Toyota,RAV4 Limited,2008,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 11,800,000"
Lexus,RX,2017,Automatic,Silver,Foreign Used,"Lagos, Surulere","₦ 47,000,000"
Lexus,RX 350,2011,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 19,000,000"
Mercedes-Benz,GLE-Class GLE 350,2020,Automatic,Black,Foreign Used,"Lagos, Ikeja","₦ 92,000,000"
Toyota,Fortuner,2020,Automatic,Black,Local Used,"Abuja, Kaura","₦ 44,900,000"
Mercedes-Benz,GLE-Class GLE 350 4MATIC,2020,Automatic,Black,Foreign Used,"Lagos, Lekki","₦ 95,000,000"
Lexus,ES 350,2009,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 11,500,000"
Toyota,Corolla,2013,Automatic,Blue,Foreign Used,"Lagos, Amuwo-Odofin","₦ 13,000,000"
Lexus,RX 350 AWD,2015,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 29,000,000"
Lexus,RX 350 FWD,2014,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 26,000,000"
Lexus,RX 350 AWD,2012,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 21,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2010,Automatic,Silver,Local Used,"Enugu, Enugu / Enugu State","₦ 11,800,000"
Lexus,ES,2014,Automatic,Red,Foreign Used,"Lagos, Lekki","₦ 24,500,000"
Toyota,Camry,2008,Automatic,Red,Local Used,"Lagos, Ogba","₦ 5,720,000"
Lexus,ES 350 FWD,2015,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 24,000,000"
Toyota,Sequoia,2013,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 32,000,000"
Lexus,ES 350,2008,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 11,500,000"
Lexus,RX,2011,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 21,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2014,Automatic,Black,Foreign Used,"Enugu, Enugu / Enugu State","₦ 20,640,000"
Toyota,Camry,2011,Automatic,Red,Foreign Used,"Lagos, Ikeja","₦ 11,650,000"
Lexus,GX 460,2010,Automatic,Silver,Foreign Used,"Lagos, Gbagada","₦ 37,000,000"
Toyota,Highlander,2018,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 35,500,000"
Mercedes-Benz,M Class,2015,Automatic,Gray,Foreign Used,"Lagos, Ikeja","₦ 32,000,000"
Toyota,Sequoia,2010,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 21,800,000"
Toyota,C-HR,2021,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 56,000,000"
Mercedes-Benz,CLA-Class CLA 250 4MATIC Wagon,2016,Automatic,Red,Foreign Used,"Lagos, Ikeja","₦ 27,500,000"
Toyota,Corolla,2008,Automatic,Red,Foreign Used,"Lagos, Ajah","₦ 10,500,000"
Hyundai,Sonata,2015,Automatic,White,Foreign Used,"Abuja, Gwarinpa","₦ 13,500,000"
